id,employee,hire_date,department,salary,bonus
892660,Terrijo Dransfield,11/20/2020,Services,"$61,459.48 ","$67,605.43"
892661,Doretta O' Finan,10/18/2020,Business Development,"$118,445.66 ",$0.00
892662,Roldan Bardwall,02/07/2021,Support,"$81,817.42 ","$89,999.16"
892663,Arnold Grundwater,08/12/2021,Accounting,"$81,464.21 ","$89,610.63"
892664,Vikky Rummery,04/06/2021,Business Development,"$119,791.98 ",$0.00
892665,Rafferty Grantham,03/17/2021,Engineering,"$78,969.87 ","$86,866.86"
892666,Adrien Shimony,06/19/2021,Product Management,"$109,688.82 ",$0.00
892667,Ginger Servant,06/01/2021,Engineering,"$148,723.19 ",$0.00
892668,Gabbi Matisse,02/23/2021,Accounting,"$88,050.87 ","$96,855.96"
892669,Paxon Lorain,01/17/2021,Business Development,"$96,244.69 ","$105,869.16"
892670,Fayre Anscombe,06/29/2021,Training,"$88,972.46 ","$97,869.71"
892671,Whitney Amiranda,02/06/2021,Legal,"$127,463.17 ",$0.00
892672,Chrysler Naulty,02/15/2021,Sales,"$58,357.57 ","$64,193.33"
892673,Kirstin Caughtry,02/18/2021,Accounting,"$83,123.70 ","$91,436.07"
892674,Quentin Crathorne,04/04/2021,Sales,"$120,293.64 ",$0.00
892675,Adler Kalinsky,10/12/2020,Services,"$126,287.14 ",$0.00
892676,Annadiana Mastrantone,12/02/2020,Services,"$87,904.58 ","$96,695.04"
892677,Elyse Hyrons,01/06/2021,Legal,"$75,201.83 ","$82,722.01"
892678,Deedee Barabich,03/18/2021,Legal,"$129,551.87 ",$0.00
892679,Dermot Heed,08/28/2021,Human Resources,"$101,600.06 ",$0.00
892680,Krishnah Gowdridge,03/22/2021,Training,"$130,912.80 ",$0.00
892681,Karlik Awcock,03/11/2021,Accounting,"$57,909.65 ","$63,700.62"
892682,Franny Seak,05/22/2021,Product Management,"$99,966.31 ","$109,962.94"
892683,Tasia Farryn,03/09/2021,Research and Development,"$70,308.05 ","$77,338.86"
892684,Sauveur Figurski,11/18/2020,Human Resources,"$96,157.24 ","$105,772.96"
892685,Ram Keniwell,01/28/2021,Legal,"$113,933.24 ",$0.00
892686,Wendell Caddock,03/29/2021,Business Development,"$67,402.58 ","$74,142.84"
892687,Ekaterina Sneath,05/04/2021,Engineering,"$91,051.27 ","$100,156.40"
892688,Fitz Ewdale,01/02/2021,Legal,"$136,405.11 ",$0.00
892689,Kasper Willcocks,07/15/2021,Accounting,"$138,883.75 ",$0.00
892690,Nanci Pridham,03/02/2021,Business Development,"$122,094.88 ",$0.00
892691,Collete Elster,02/10/2021,Accounting,"$123,675.76 ",$0.00
892692,Thomasina Cumberbatch,04/15/2021,Engineering,"$101,407.58 ",$0.00
892693,Knox Ledstone,04/30/2021,Support,"$83,334.24 ","$91,667.66"
892694,Shela Hortop,06/03/2021,Accounting,"$132,592.85 ",$0.00
892695,Godfry Hastler,12/12/2020,Research and Development,"$112,540.14 ",$0.00
892696,Faulkner Cottrell,05/19/2021,Marketing,"$87,762.14 ","$96,538.35"
892697,Cort Rapp,03/18/2021,Accounting,"$129,223.70 ",$0.00
892698,Tabitha Meco,04/30/2021,Engineering,"$103,148.31 ",$0.00
892699,Codee Letch,11/06/2020,Marketing,"$97,631.20 ","$107,394.32"
892700,Emory Cross,01/26/2021,Business Development,"$88,534.16 ","$97,387.58"
892701,Eirena Fellows,02/11/2021,Human Resources,"$138,112.90 ",$0.00
892702,Claudianus Van Halen,06/28/2021,Research and Development,"$72,320.30 ","$79,552.33"
892703,Channa Tomasik,06/06/2021,Legal,"$107,962.89 ",$0.00
892704,Hilary Kleinber,06/26/2021,Services,"$121,936.49 ",$0.00
892705,Darb Bruhnsen,07/18/2021,Human Resources,"$115,976.83 ",$0.00
892706,Baxy Yosselevitch,11/17/2020,Training,"$85,131.50 ","$93,644.65"
892707,Gard Byway,11/19/2020,Product Management,"$69,450.06 ","$76,395.07"
892708,Amy Dener,12/09/2020,Engineering,"$107,414.03 ",$0.00
892709,Siusan Franzel,10/18/2020,Research and Development,"$108,783.42 ",$0.00
892710,Carolan Lebel,01/15/2021,Sales,"$99,317.15 ","$109,248.87"
892711,Gabriel Rosenfarb,05/20/2021,Human Resources,"$103,061.32 ",$0.00
892712,Ronald Birkwood,04/08/2021,Business Development,"$84,961.89 ","$93,458.08"
892713,Rriocard Raoux,03/27/2021,Services,"$74,616.55 ","$82,078.21"
892714,Elvin Aust,07/06/2021,Services,"$119,885.82 ",$0.00
892715,Alan Quarmby,10/31/2020,Product Management,"$102,001.39 ",$0.00
892716,Alina Le Strange,10/27/2020,Services,"$82,253.98 ","$90,479.38"
892717,Westley Korda,08/20/2021,Accounting,"$114,660.59 ",$0.00
892718,Julie Coke,11/30/2020,Services,"$66,021.79 ","$72,623.97"
892719,Lea Camock,09/17/2020,Sales,"$116,315.82 ",$0.00
892720,Natividad Fabler,12/19/2020,Sales,"$82,427.48 ","$90,670.23"
892721,Dorie Cridlon,04/20/2021,Training,"$129,806.40 ",$0.00
892722,Timmie Moye,10/06/2020,Sales,"$106,394.66 ",$0.00
892723,Helen-elizabeth Humfrey,09/19/2020,Business Development,"$70,950.29 ","$78,045.32"
892724,Alvy MacConnal,01/23/2021,Training,"$100,251.00 ",$0.00
892725,Tait Cherrett,10/03/2020,Training,"$80,094.51 ","$88,103.96"
892726,Dare McGready,10/25/2020,Support,"$139,321.53 ",$0.00
892727,Wood Greder,12/27/2020,Engineering,"$113,059.87 ",$0.00
892728,Cassy MacIllrick,02/13/2021,Human Resources,"$110,706.00 ",$0.00
892729,Avigdor Warmisham,10/31/2020,Sales,"$135,229.54 ",$0.00
892730,Cale Joist,12/06/2020,Business Development,"$90,563.82 ","$99,620.20"
892731,Odele Espinel,11/18/2020,Support,"$63,990.02 ","$70,389.02"
892732,Wainwright Akenhead,12/28/2020,Business Development,"$72,126.20 ","$79,338.82"
892733,El Dabner,01/07/2021,Research and Development,"$59,873.81 ","$65,861.19"
892734,Almira De Blase,06/29/2021,Services,"$92,272.03 ","$101,499.23"
892735,Delmar Mishow,05/29/2021,Sales,"$57,863.56 ","$63,649.92"
892736,August Doud,02/13/2021,Marketing,"$60,293.24 ","$66,322.56"
892737,Margo Uzelli,03/21/2021,Business Development,"$136,385.04 ",$0.00
892738,Tomasina Pesek,11/04/2020,Sales,"$61,456.80 ","$67,602.48"
892739,Rudolfo Letty,09/23/2020,Services,"$83,806.78 ","$92,187.46"
892740,L;urette Cruikshanks,04/05/2021,Legal,"$56,780.23 ","$62,458.25"
892741,Fielding Bacchus,08/19/2021,Research and Development,"$79,180.18 ","$87,098.20"
892742,Alexine Huband,05/20/2021,Training,"$147,348.63 ",$0.00
892743,Benny Pattesall,03/06/2021,Training,"$57,924.99 ","$63,717.49"
892744,Shae Syrie,07/17/2021,Research and Development,"$115,784.93 ",$0.00
892745,Riley Shinner,10/23/2020,Business Development,"$116,099.34 ",$0.00
892746,Ellery Varlow,06/29/2021,Training,"$95,543.52 ","$105,097.87"
892747,Parker Agates,02/24/2021,Accounting,"$138,931.64 ",$0.00
892748,Morey Popping,08/22/2021,Training,"$109,799.08 ",$0.00
892749,Zedekiah Geharke,06/03/2021,Product Management,"$141,180.79 ",$0.00
892750,Adolphus Fernier,11/14/2020,Accounting,"$142,499.02 ",$0.00
892751,Morgana Stallworthy,03/30/2021,Marketing,"$129,356.81 ",$0.00
892752,Loraine Montgomery,01/11/2021,Services,"$149,981.33 ",$0.00
892753,Gregoor Corrington,06/03/2021,Marketing,"$64,581.90 ","$71,040.09"
892754,Berny Hassett,01/13/2021,Services,"$129,067.16 ",$0.00
892755,Georgeanne Wynrahame,05/15/2021,Legal,"$134,533.94 ",$0.00
892756,Harrie Jeggo,07/01/2021,Training,"$129,462.15 ",$0.00
892757,Guillermo Jakubovski,06/12/2021,Engineering,"$67,108.66 ","$73,819.53"
892758,Lula Freeberne,09/23/2020,Business Development,"$76,351.75 ","$83,986.93"
892759,Abelard Sidsaff,11/08/2020,Accounting,"$137,122.49 ",$0.00
892760,Shelbi Redborn,11/09/2020,Engineering,"$65,251.96 ","$71,777.16"
892761,Matthiew Dunklee,08/15/2021,Human Resources,"$118,821.76 ",$0.00
892762,Sunshine Neil,11/12/2020,Legal,"$86,823.96 ","$95,506.36"
892763,Holmes MacIlraith,12/26/2020,Services,"$119,943.93 ",$0.00
892764,Melicent Matschoss,12/09/2020,Training,"$147,384.61 ",$0.00
892765,Kristen Motto,11/15/2020,Human Resources,"$120,303.98 ",$0.00
892766,Wyn Macari,07/30/2021,Engineering,"$146,907.16 ",$0.00
892767,Cally Orrill,12/23/2020,Product Management,"$95,931.64 ","$105,524.80"
892768,Oralia Leveret,12/12/2020,Marketing,"$96,208.75 ","$105,829.63"
892769,Amberly Scrowby,01/07/2021,Sales,"$148,889.86 ",$0.00
892770,Prescott Evetts,04/22/2021,Sales,"$62,607.35 ","$68,868.09"
892771,Ronnie Payze,10/10/2020,Sales,"$102,478.57 ",$0.00
892772,Lynda Putley,02/14/2021,Marketing,"$122,803.47 ",$0.00
892773,Der Stampe,12/13/2020,Support,"$81,047.05 ","$89,151.76"
892774,Gabriello Limpertz,10/07/2020,Services,"$147,491.85 ",$0.00
892775,Steffie Battey,09/29/2020,Product Management,"$137,190.45 ",$0.00
892776,Cooper Verrall,08/18/2021,Marketing,"$106,473.89 ",$0.00
892777,Amitie Dowdall,05/13/2021,Product Management,"$135,600.03 ",$0.00
892778,Muire Miko,11/21/2020,Legal,"$124,849.38 ",$0.00
892779,Whitney Getley,09/18/2020,Marketing,"$130,345.63 ",$0.00
892780,Salomo Kacheller,05/13/2021,Research and Development,"$77,989.50 ","$85,788.45"
892781,Dalt Poulglais,10/31/2020,Services,"$94,393.47 ","$103,832.82"
892782,Slade Billings,12/23/2020,Services,"$111,335.52 ",$0.00
892783,Guillermo Lathaye,10/29/2020,Research and Development,"$84,352.82 ","$92,788.10"
892784,Pammi Crus,05/13/2021,Training,"$106,070.08 ",$0.00
892785,Brietta Gellately,09/11/2020,Accounting,"$100,637.51 ",$0.00
892786,Clemmy Breawood,10/15/2020,Services,"$142,780.20 ",$0.00
892787,Tito Ramm,01/11/2021,Services,"$132,834.92 ",$0.00
892788,Kimbell McClosh,07/28/2021,Marketing,"$75,867.13 ","$83,453.84"
892789,Zahara Barribal,04/09/2021,Training,"$146,675.33 ",$0.00
892790,Monroe Baunton,09/01/2021,Human Resources,"$105,741.89 ",$0.00
892791,Vassily Weiner,12/09/2020,Product Management,"$136,851.87 ",$0.00
892792,Sheela Gamlin,10/11/2020,Accounting,"$82,597.49 ","$90,857.24"
892793,Cornelle Newick,01/28/2021,Training,"$68,701.71 ","$75,571.88"
892794,Carola Childes,01/08/2021,Services,"$72,795.50 ","$80,075.05"
892795,Laney Aslie,07/23/2021,Services,"$115,408.42 ",$0.00
892796,Robinette Sleicht,10/18/2020,Product Management,"$70,911.51 ","$78,002.66"
892797,Kaycee O' Meara,04/17/2021,Training,"$113,032.57 ",$0.00
892798,Romain Casado,07/20/2021,Training,"$125,834.16 ",$0.00
892799,Doug Lettuce,04/05/2021,Accounting,"$109,651.42 ",$0.00
892800,Sadella Sherston,03/28/2021,Services,"$89,912.80 ","$98,904.08"
892801,Roxie Swanton,12/15/2020,Product Management,"$82,809.27 ","$91,090.20"
892802,Adi Selesnick,11/03/2020,Sales,"$79,887.36 ","$87,876.10"
892803,Karine Bennie,01/29/2021,Marketing,"$110,355.15 ",$0.00
892804,Jerrome Romeo,07/24/2021,Engineering,"$98,568.75 ","$108,425.63"
892805,Tammara Puckey,12/11/2020,Engineering,"$113,910.54 ",$0.00
892806,Annie Noton,04/12/2021,Services,"$71,996.82 ","$79,196.50"
892807,Euell Gadault,02/13/2021,Accounting,"$125,716.81 ",$0.00
892808,Sherri Gomery,01/10/2021,Accounting,"$86,899.44 ","$95,589.38"
892809,Buck Malden,12/17/2020,Services,"$133,351.56 ",$0.00
892810,Wylma Vinall,09/19/2020,Engineering,"$55,760.96 ","$61,337.06"
892811,Onofredo Garron,08/12/2021,Business Development,"$120,002.44 ",$0.00
892812,Aksel Wearden,08/05/2021,Marketing,"$121,414.33 ",$0.00
892813,Raeann Bompas,04/27/2021,Product Management,"$126,109.79 ",$0.00
892814,Cornela Walkden,05/13/2021,Marketing,"$98,719.51 ","$108,591.46"
892815,Niki Cawson,11/10/2020,Training,"$141,249.89 ",$0.00
892816,Mateo Tesoe,03/21/2021,Marketing,"$82,546.96 ","$90,801.66"
892817,Cristionna Duke,02/04/2021,Engineering,"$113,484.47 ",$0.00
892818,Buffy Trevear,09/14/2020,Support,"$87,111.81 ","$95,822.99"
892819,Prinz Oldall,03/04/2021,Engineering,"$101,761.16 ",$0.00
892820,Nady MacAlroy,12/30/2020,Research and Development,"$71,893.94 ","$79,083.33"
892821,Basil Macari,10/27/2020,Support,"$128,128.24 ",$0.00
892822,Sophronia Jevons,05/15/2021,Legal,"$70,855.61 ","$77,941.17"
892823,Darb Reiner,02/23/2021,Services,"$62,604.43 ","$68,864.87"
892824,Nicholle Grzelak,09/03/2021,Services,"$142,576.36 ",$0.00
892825,Tallulah Cosgrave,07/20/2021,Accounting,"$102,534.96 ",$0.00
892826,Korella Chapellow,04/24/2021,Product Management,"$147,568.63 ",$0.00
892827,Tim Udell,04/15/2021,Legal,"$75,536.88 ","$83,090.57"
892828,Glennis Tuerena,07/19/2021,Business Development,"$126,056.63 ",$0.00
892829,Micah Mellonby,01/22/2021,Marketing,"$76,844.21 ","$84,528.63"
892830,Chancey Charge,01/04/2021,Support,"$92,662.61 ","$101,928.87"
892831,Oswald Franek,05/18/2021,Marketing,"$62,669.57 ","$68,936.53"
892832,Konrad Hebard,12/06/2020,Training,"$130,887.64 ",$0.00
892833,Janina Osan,11/02/2020,Marketing,"$96,531.88 ","$106,185.07"
892834,Bathsheba Shoebotham,02/22/2021,Support,"$101,204.37 ",$0.00
892835,Coop Ervine,08/11/2021,Sales,"$93,166.95 ","$102,483.65"
892836,Cammy Vannet,03/24/2021,Services,"$115,069.45 ",$0.00
892837,Consolata Sheffield,02/03/2021,Legal,"$82,549.80 ","$90,804.78"
892838,Henrik Giovannini,10/13/2020,Engineering,"$103,474.96 ",$0.00
892839,Bel Boucher,10/03/2020,Human Resources,"$59,152.22 ","$65,067.44"
892840,Rock Sakins,05/03/2021,Legal,"$98,686.94 ","$108,555.63"
892841,Rick Kaminski,02/04/2021,Accounting,"$107,126.00 ",$0.00
892842,Salvidor Brazelton,08/22/2021,Marketing,"$76,494.90 ","$84,144.39"
892843,Lorelle Eakins,02/22/2021,Accounting,"$69,020.49 ","$75,922.54"
892844,Gabey Valentelli,12/30/2020,Legal,"$124,922.57 ",$0.00
892845,Hiram Rodgerson,01/23/2021,Human Resources,"$71,157.24 ","$78,272.96"
892846,Tiena Sergison,06/19/2021,Research and Development,"$148,808.89 ",$0.00
892847,Jarid Batisse,11/05/2020,Engineering,"$70,668.18 ","$77,735.00"
892848,Geraldine Miskelly,07/20/2021,Product Management,"$65,258.52 ","$71,784.37"
892849,Chrystel Baldick,03/18/2021,Accounting,"$134,672.37 ",$0.00
892850,Marv Hovey,11/01/2020,Human Resources,"$145,039.85 ",$0.00
892851,Silvester Sinney,03/24/2021,Sales,"$72,018.11 ","$79,219.92"
892852,Coletta McCreadie,07/23/2021,Support,"$149,024.05 ",$0.00
892853,Babara Bott,05/17/2021,Research and Development,"$67,711.39 ","$74,482.53"
892854,Darcee Sijmons,04/15/2021,Engineering,"$136,424.19 ",$0.00
892855,Shoshanna Pidgeon,01/19/2021,Services,"$55,292.20 ","$60,821.42"
892856,Ilyssa Rubes,09/22/2020,Legal,"$81,879.57 ","$90,067.53"
892857,Bobbie Wharrier,05/05/2021,Business Development,"$130,182.99 ",$0.00
892858,Ianthe Comiskey,03/11/2021,Business Development,"$66,621.63 ","$73,283.79"
892859,Crissy McLorinan,01/24/2021,Business Development,"$63,418.00 ","$69,759.80"
892860,Jamima Billiard,06/21/2021,Marketing,"$105,706.62 ",$0.00
892861,Garik Cheke,08/20/2021,Research and Development,"$144,247.76 ",$0.00
892862,Isabella Stife,11/13/2020,Training,"$107,633.44 ",$0.00
892863,Tanya Detoile,11/03/2020,Legal,"$67,556.94 ","$74,312.63"
892864,Felicia Salvin,06/21/2021,Marketing,"$129,545.24 ",$0.00
892865,Hadley Laudham,01/20/2021,Training,"$149,910.29 ",$0.00
892866,Wandis Tuison,09/07/2021,Training,"$79,845.30 ","$87,829.83"
892867,Jerrome Jakucewicz,05/25/2021,Business Development,"$140,852.71 ",$0.00
892868,Orson Blasiak,12/31/2020,Support,"$74,688.95 ","$82,157.85"
892869,Hedvige Eyton,03/15/2021,Research and Development,"$109,378.89 ",$0.00
892870,Wilbert Bwye,12/22/2020,Legal,"$89,088.28 ","$97,997.11"
892871,Heywood Mitchelhill,07/23/2021,Services,"$75,864.95 ","$83,451.45"
892872,Sansone Dumbellow,02/18/2021,Sales,"$89,867.34 ","$98,854.07"
892873,Andras Northin,10/09/2020,Support,"$128,607.24 ",$0.00
892874,Evania Heisham,04/15/2021,Engineering,"$135,534.09 ",$0.00
892875,Lauree Enterle,06/23/2021,Sales,"$76,384.62 ","$84,023.08"
892876,Carce Moxom,05/22/2021,Business Development,"$89,812.75 ","$98,794.03"
892877,Margeaux Woolmer,06/17/2021,Research and Development,"$117,790.97 ",$0.00
892878,Florella Lintin,12/11/2020,Legal,"$125,365.81 ",$0.00
892879,Baily Siburn,10/17/2020,Support,"$137,202.50 ",$0.00
892880,Georgetta Getty,10/09/2020,Research and Development,"$68,396.58 ","$75,236.24"
892881,Sib Magwood,08/19/2021,Legal,"$127,511.21 ",$0.00
892882,Jerry Bordone,11/05/2020,Sales,"$76,134.60 ","$83,748.06"
892883,Matt Bardsley,07/10/2021,Support,"$144,052.20 ",$0.00
892884,Artemas Heineken,01/22/2021,Accounting,"$79,105.94 ","$87,016.53"
892885,Gerald Elcocks,03/19/2021,Marketing,"$129,397.43 ",$0.00
892886,Juliane Dunican,05/10/2021,Product Management,"$131,539.12 ",$0.00
892887,Ron Enochsson,12/30/2020,Business Development,"$59,952.47 ","$65,947.72"
892888,Carolin Louisot,01/04/2021,Research and Development,"$124,381.14 ",$0.00
892889,Flem Portis,11/16/2020,Research and Development,"$135,319.70 ",$0.00
892890,Kerrill Magovern,10/11/2020,Services,"$114,492.80 ",$0.00
892891,Ingra Corbyn,07/28/2021,Training,"$91,503.33 ","$100,653.66"
892892,Joana Carthew,03/17/2021,Human Resources,"$85,210.19 ","$93,731.21"
892893,Piper Measey,02/06/2021,Support,"$121,869.56 ",$0.00
892894,Olivier Aggis,10/09/2020,Sales,"$137,075.68 ",$0.00
892895,Jocelyn Ingledew,10/19/2020,Engineering,"$93,865.89 ","$103,252.48"
892896,Charlene Leyninye,12/05/2020,Engineering,"$107,306.48 ",$0.00
892897,Lewie Butterick,09/26/2020,Accounting,"$58,082.43 ","$63,890.67"
892898,Analise Dangerfield,12/03/2020,Accounting,"$56,042.40 ","$61,646.64"
892899,Aileen Duckers,01/18/2021,Business Development,"$148,852.32 ",$0.00
892900,Margot Copcote,07/23/2021,Training,"$87,006.93 ","$95,707.62"
892901,Byrom Raffin,02/26/2021,Research and Development,"$144,335.25 ",$0.00
892902,Fae Paffot,11/21/2020,Human Resources,"$82,371.56 ","$90,608.72"
892903,Ruthe Buckenham,06/03/2021,Services,"$142,846.72 ",$0.00
892904,Turner Delacoste,09/06/2021,Human Resources,"$146,255.40 ",$0.00
892905,Mackenzie MacGaughey,05/06/2021,Services,"$97,590.48 ","$107,349.53"
892906,Alexandra Haughin,03/20/2021,Product Management,"$80,452.17 ","$88,497.39"
892907,Aaren Lightbown,02/06/2021,Product Management,"$144,486.39 ",$0.00
892908,Charlot Nibley,05/30/2021,Product Management,"$62,731.20 ","$69,004.32"
892909,Fernanda Dines,06/25/2021,Sales,"$61,094.40 ","$67,203.84"
892910,Kiel Magill,09/16/2020,Accounting,"$134,166.30 ",$0.00
892911,Basilio Royce,12/25/2020,Training,"$111,912.23 ",$0.00
892912,Dale Wedlock,11/05/2020,Accounting,"$119,432.85 ",$0.00
892913,Erda Beadnall,03/20/2021,Legal,"$60,166.55 ","$66,183.21"
892914,Parnell Bainton,07/11/2021,Engineering,"$107,870.25 ",$0.00
892915,Uta Linay,01/30/2021,Sales,"$87,428.71 ","$96,171.58"
892916,Thatcher Isack,01/20/2021,Engineering,"$148,326.88 ",$0.00
892917,Felipa Albin,02/10/2021,Engineering,"$139,913.85 ",$0.00
892918,Patty Macrow,11/24/2020,Engineering,"$141,912.37 ",$0.00
892919,Corly Taverner,07/27/2021,Product Management,"$120,583.54 ",$0.00
892920,Ginger Doreward,02/14/2021,Research and Development,"$65,859.41 ","$72,445.35"
892921,Hollyanne Brear,06/13/2021,Training,"$134,963.51 ",$0.00
892922,Daloris Pinkie,08/11/2021,Services,"$122,231.71 ",$0.00
892923,Levon Deval,09/28/2020,Accounting,"$85,359.03 ","$93,894.93"
892924,Benny Attril,02/24/2021,Services,"$107,722.36 ",$0.00
892925,Elva Canland,05/25/2021,Product Management,"$147,918.54 ",$0.00
892926,Cirillo Gosnay,03/04/2021,Business Development,"$147,435.38 ",$0.00
892927,Carmelle Arkle,08/09/2021,Engineering,"$102,415.47 ",$0.00
892928,Vicky Leadbetter,11/03/2020,Services,"$140,343.62 ",$0.00
892929,Velvet Krzysztofiak,04/25/2021,Services,"$124,989.98 ",$0.00
892930,Rickard Dowglass,06/11/2021,Business Development,"$139,680.26 ",$0.00
892931,Tymon Kopfer,02/03/2021,Marketing,"$108,396.98 ",$0.00
892932,Korney Liger,02/13/2021,Business Development,"$122,847.11 ",$0.00
892933,Dehlia Maypowder,01/10/2021,Business Development,"$96,358.69 ","$105,994.56"
892934,Chiarra Readshall,08/27/2021,Human Resources,"$102,219.09 ",$0.00
892935,Ellynn Siebert,03/19/2021,Training,"$119,027.15 ",$0.00
892936,Arlen Heaselgrave,05/08/2021,Support,"$111,183.94 ",$0.00
892937,Thain Truett,12/19/2020,Engineering,"$130,308.89 ",$0.00
892938,Eleanora Doveston,01/15/2021,Human Resources,"$142,661.58 ",$0.00
892939,Diannne Danilovitch,11/28/2020,Engineering,"$80,131.48 ","$88,144.63"
892940,Laural Gounet,04/22/2021,Research and Development,"$114,941.29 ",$0.00
892941,Dulcia Whodcoat,05/20/2021,Human Resources,"$131,983.83 ",$0.00
892942,Rosemarie Dingivan,09/04/2021,Human Resources,"$95,674.50 ","$105,241.95"
892943,Cindi Michelle,12/27/2020,Training,"$142,793.74 ",$0.00
892944,Wendeline Syratt,09/16/2020,Marketing,"$110,216.52 ",$0.00
892945,Nerissa Cello,10/30/2020,Legal,"$97,737.53 ","$107,511.28"
892946,Grayce Dunkinson,10/06/2020,Training,"$83,767.81 ","$92,144.59"
892947,Derby Earlam,09/23/2020,Human Resources,"$110,668.80 ",$0.00
892948,Otho Lupton,07/12/2021,Services,"$73,900.10 ","$81,290.11"
892949,Brianne Stansbie,10/18/2020,Human Resources,"$65,729.22 ","$72,302.14"
892950,Roxine Pridgeon,02/23/2021,Legal,"$78,232.24 ","$86,055.46"
892951,Fayre Heinl,04/10/2021,Engineering,"$73,715.04 ","$81,086.54"
892952,Caitrin Dinnage,07/18/2021,Legal,"$72,336.68 ","$79,570.35"
892953,Henriette Creed,07/14/2021,Training,"$90,288.03 ","$99,316.83"
892954,Rivalee Cicchetto,01/22/2021,Product Management,"$125,922.04 ",$0.00
892955,Bertina Greeveson,03/14/2021,Engineering,"$128,442.46 ",$0.00
892956,Dollie Wedlake,06/07/2021,Sales,"$70,884.03 ","$77,972.43"
892957,Levy Jobbings,02/14/2021,Sales,"$131,400.85 ",$0.00
892958,Donall Zincke,01/24/2021,Product Management,"$98,756.58 ","$108,632.24"
892959,Ruthy Selborne,06/16/2021,Engineering,"$60,566.66 ","$66,623.33"
892960,Errol Minto,10/18/2020,Engineering,"$55,567.73 ","$61,124.50"
892961,Estelle Swadlinge,06/07/2021,Human Resources,"$99,508.37 ","$109,459.21"
892962,Ranice Mildner,04/14/2021,Accounting,"$113,320.40 ",$0.00
892963,Wallace Massingberd,08/26/2021,Services,"$56,592.80 ","$62,252.08"
892964,Ellene McAvey,10/20/2020,Marketing,"$125,025.07 ",$0.00
892965,Maurine Penson,03/18/2021,Services,"$108,582.97 ",$0.00
892966,Tuck Cockroft,07/02/2021,Sales,"$90,516.02 ","$99,567.62"
892967,Marlin Guite,07/28/2021,Accounting,"$69,471.56 ","$76,418.72"
892968,Jere Epinay,10/07/2020,Human Resources,"$129,486.53 ",$0.00
892969,Darbee Codrington,05/16/2021,Services,"$67,197.62 ","$73,917.38"
892970,Arvy Eltune,01/17/2021,Business Development,"$72,031.62 ","$79,234.78"
892971,Marylee Melson,09/14/2020,Marketing,"$129,832.76 ",$0.00
892972,Abbot Swepstone,01/23/2021,Business Development,"$134,033.07 ",$0.00
892973,Martainn Bushen,01/17/2021,Services,"$59,778.40 ","$65,756.24"
892974,Megen Withrington,08/25/2021,Services,"$80,500.57 ","$88,550.63"
892975,Feodor Valance,12/05/2020,Services,"$112,005.17 ",$0.00
892976,Raye Aberkirdo,04/30/2021,Sales,"$125,514.52 ",$0.00
892977,Jennette Lacey,09/27/2020,Support,"$119,318.48 ",$0.00
892978,Rosalinda MacDonnell,03/07/2021,Marketing,"$92,825.22 ","$102,107.74"
892979,Umberto Yakubowicz,05/07/2021,Training,"$56,425.19 ","$62,067.71"
892980,Harli Hawkswood,09/28/2020,Training,"$73,203.29 ","$80,523.62"
892981,Dennie Matteoni,12/02/2020,Training,"$138,879.06 ",$0.00
892982,Fabe Hukins,01/29/2021,Research and Development,"$106,747.41 ",$0.00
892983,Keefe Karpychev,11/25/2020,Services,"$106,788.06 ",$0.00
892984,Wendel Popplestone,09/24/2020,Training,"$138,154.10 ",$0.00
892985,Israel Gavini,07/30/2021,Business Development,"$122,747.70 ",$0.00
892986,Heinrick Gramer,08/11/2021,Legal,"$106,653.75 ",$0.00
892987,Ardisj Dahle,08/23/2021,Services,"$72,733.60 ","$80,006.96"
892988,Fraze Yashanov,10/12/2020,Engineering,"$114,836.16 ",$0.00
892989,Ula Epilet,12/31/2020,Training,"$111,450.49 ",$0.00
892990,Karoly Maker,02/11/2021,Research and Development,"$113,091.90 ",$0.00
892991,Hogan Jansson,06/25/2021,Product Management,"$79,510.27 ","$87,461.30"
892992,Torr Brookes,02/12/2021,Legal,"$137,074.10 ",$0.00
892993,Lucie Renhard,03/06/2021,Support,"$76,783.48 ","$84,461.83"
892994,Ilka Solly,05/16/2021,Engineering,"$145,608.54 ",$0.00
892995,Rudolfo Plenderleith,07/21/2021,Engineering,"$83,999.10 ","$92,399.01"
892996,Gennifer Reihill,06/17/2021,Sales,"$140,196.16 ",$0.00
892997,Harold Willeman,12/28/2020,Business Development,"$146,990.42 ",$0.00
892998,Shem Whapham,06/05/2021,Business Development,"$108,247.19 ",$0.00
892999,Tynan Malden,09/23/2020,Support,"$75,725.13 ","$83,297.64"
893000,Ileane O Sullivan,08/31/2021,Services,"$141,168.32 ",$0.00
893001,Ambur Backwell,08/26/2021,Marketing,"$75,292.20 ","$82,821.42"
893002,Shannah Waryk,12/03/2020,Human Resources,"$95,428.82 ","$104,971.70"
893003,Eddi Vost,03/24/2021,Business Development,"$60,229.94 ","$66,252.93"
893004,Jock People,03/10/2021,Legal,"$103,236.86 ",$0.00
893005,Shaine Haton,06/14/2021,Legal,"$131,142.47 ",$0.00
893006,Jordan Hadigate,07/03/2021,Training,"$76,737.11 ","$84,410.82"
893007,Fletcher Bradford,10/16/2020,Business Development,"$145,109.99 ",$0.00
893008,Lynnell Perrygo,03/06/2021,Legal,"$121,811.49 ",$0.00
